# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 10.000000
nsample 64

# Analog Inputs
aichannel 10
ailabel "Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279297
aicalzero 0.001190
aicalunits "uA"

aichannel 11
ailabel "Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0

# Analog Outputs
aochannel 0
aosignal constant
aofrequency 500.000000
aoamplitude 0.000000
aooffset 5.000000
aoduty 0.500000

# Meta Parameters
meta float
wire_d_in 0.041000
standoff_in 0.100000
cut_o2_psig 20.000000

meta string
wire steel
feed_ips 22
meta end

## End Configuration ##
#: Thu Jun 10 16:01:17 2021
1.995602e-03	9.468582e+00
3.164144e-03	9.480586e+00
-4.131470e-03	9.477427e+00
-1.320570e-03	9.475216e+00
1.079717e-03	9.472057e+00
-5.805377e-03	9.467319e+00
-7.520737e-04	9.464791e+00
-2.552313e-03	9.459105e+00
-3.414928e-04	9.458473e+00
3.290473e-03	9.469530e+00
-5.679044e-03	9.476164e+00
-1.257404e-03	9.479322e+00
-1.004739e-03	9.481850e+00
-2.899728e-03	9.479955e+00
1.954150e-04	9.476795e+00
-6.889073e-04	9.474268e+00
1.490286e-03	9.471109e+00
-2.425980e-03	9.474585e+00
5.921666e-06	9.482165e+00
-5.300047e-03	9.480902e+00
-1.699568e-03	9.481850e+00
-1.415320e-03	9.482165e+00
-4.731550e-03	9.477112e+00
-2.783265e-04	9.476164e+00
1.322506e-04	9.473637e+00
-4.415718e-03	9.469846e+00
-1.257404e-03	9.478375e+00
-1.383737e-03	9.484693e+00
-1.731151e-03	9.482165e+00
-8.784062e-04	9.480586e+00
-6.247541e-03	9.477427e+00
1.322506e-04	9.476480e+00
-9.731557e-04	9.472373e+00
-2.489147e-03	9.473321e+00
1.711362e-03	9.478059e+00
-1.204107e-04	9.483429e+00
-4.289386e-03	9.480902e+00
-3.183976e-03	9.478691e+00
9.849706e-04	9.481218e+00
-4.731550e-03	9.477743e+00
-1.667985e-03	9.472689e+00
-6.889073e-04	9.467951e+00
-1.004739e-03	9.476164e+00
-9.731557e-04	9.478691e+00
-1.762734e-03	9.481534e+00
-4.889466e-03	9.481534e+00
-3.730759e-04	9.481218e+00
-1.415320e-03	9.479639e+00
-3.341892e-03	9.474268e+00
-2.110149e-03	9.471425e+00
1.016553e-03	9.475848e+00
-5.426379e-03	9.478691e+00
-2.299648e-03	9.477112e+00
1.458704e-03	9.480586e+00
-4.289386e-03	9.475848e+00
-2.046983e-03	9.473637e+00
-1.204107e-04	9.473004e+00
-3.784056e-03	9.466055e+00
-3.973554e-03	9.464160e+00
-2.804978e-03	9.472689e+00
2.121930e-03	9.480586e+00
-4.163053e-03	9.478375e+00
-2.804978e-03	9.476164e+00
1.322506e-04	9.476480e+00
-5.268463e-03	9.472057e+00
-6.573242e-04	9.469214e+00
-2.566131e-05	9.464791e+00
1.585033e-03	9.469214e+00
-5.625748e-04	9.478691e+00
-3.026060e-03	9.477427e+00
7.638950e-04	9.479955e+00
-3.815639e-03	9.475848e+00
-1.510069e-03	9.473321e+00
-5.724445e-05	9.470794e+00
-4.731550e-03	9.463844e+00
1.742944e-03	9.470478e+00
-1.519939e-04	9.475216e+00
6.908611e-05	9.479007e+00
-3.152393e-03	9.477112e+00
-1.794318e-03	9.477112e+00
1.269210e-03	9.476795e+00
-4.163053e-03	9.468898e+00
-1.383737e-03	9.468582e+00
6.375661e-04	9.461000e+00
-1.131071e-03	9.473952e+00
-3.278725e-03	9.479322e+00
-1.478486e-03	9.479007e+00
-2.467433e-04	9.479322e+00
-3.878805e-03	9.474900e+00
-2.078566e-03	9.470478e+00
9.849706e-04	9.471425e+00
-4.984215e-03	9.459105e+00
-3.784056e-03	9.471425e+00
-8.152400e-04	9.478059e+00
-2.141732e-03	9.483113e+00
-2.046983e-03	9.483113e+00
-6.573242e-04	9.482165e+00
-3.720889e-03	9.482165e+00
1.269210e-03	9.480270e+00
-3.499807e-03	9.477743e+00
-1.288987e-03	9.480586e+00
-7.520737e-04	9.484693e+00
-4.794716e-03	9.483746e+00
-1.225821e-03	9.482482e+00
-4.163053e-03	9.480586e+00
-3.730759e-04	9.480902e+00
-1.320570e-03	9.476164e+00
-4.510468e-03	9.471425e+00
-1.225821e-03	9.470478e+00
-1.067905e-03	9.479639e+00
-4.320969e-03	9.480270e+00
